gain 利益
gainings 收益
galaxy 銀河系
gallon 加侖
game 遊戲
game 比賽
gang 一群
gang 幫派
gap 間隙
gap 縫隙
garbage 垃圾
garden 花園
garment 衣裝
gas 氣體
gas 瓦斯,汽油
gasoline 汽油
gather 搜集
gathering 聚集
gauge 儀錶
gate 門
gate 閘
gather 聚集
gaze 凝視
gear 齒輪
gel 凝膠
gelatin 凝膠
gender 性別
gene 基因
general 通常的
general 將軍
generate 產生
generous 慷慨
genius 天才
gentle 溫和
gentleman 先生
genuine 純正的
geography 地理
geometry 幾何學
germinate 發芽
germs 細菌
get 得到
get 拎
get 俾
ghost 鬼
giant 巨人
giant 巨大
gift 禮物
gifted 有天賦的
girl 女孩
girl 姑娘
girl 細路女
girlfriend 女友
give 給
give 俾
glad 高興
glance 瞥見
glass 玻璃杯
glasses 眼鏡
glide 滑行
glimpse 一瞥
glitter 閃耀
global 全球的
globe 地球
gloom 陰沉
gloomy 憂鬱
glorify 頌揚
glorious 光榮的
glow 發光
glue 膠
go 去
goal 目標
goat 山羊
god 上帝
gold 黃金
golden 金色的
golf 高爾夫球
good 好
good 好野
goodbye 再見
goodness 美德
goods 貨物
goose 鵝
govern 管制
government 政府
governor 州長
grab 抓
grade 年級
grade 等級
gradient 斜度
gradually 慢慢
graduate 畢業
grain 穀類
gram 克
grammar 文法
grand 雄偉
grandfather 祖父
grandfather 公公
grandma 奶奶
grandmother 祖母
grandmother 婆婆
grandpa 爺爺
grant 准許
graph 圖形
grass 草
grateful 感激的
grave 墓
grave 嚴肅
gravity 地心引力
gray 灰色
great 偉大
great 巨大
great 好野！
green 綠色
greet 迎接
greeting 問候
grey 灰色
grid 柵
grief 悲傷
grieve 悲傷
grin 露齒而笑
grind 研磨
grip 緊握
grocery 雜貨
gross 總數
ground 地面
group 小組
group 團體
grow 生長
growth 成長
guarantee 保證
guard 警衛
guess 猜測
guess 估下
guest 客人
guide 向導
guilt 罪過
guilty 有罪的
guitar 結他
gulf 海灣
gum 橡膠
gun 槍
gun 炮
gymnasium 體育館
