ice 冰
icecream 冰淇淋
icecream 雪糕
idea 主意
idea 想法
idea 觀念
idea 諗頭
ideal 理想
identify 識別
identify 睇下
identity 身分
idiot 傻佬
idiot 戇居
idle 閒置
idle 懶惰
if 如果
if 假如
ignite 點火
ignore 忽略
ill 生病
ill 唔舒服
illegal 不合法的
illness 疾病
illusion 錯覺
illustrate 舉例說明
image 圖像
imagine 想像
imitate 模倣
immediately 立即
immerse 浸入
immigrant 移民
immigrate 移民
immune 免疫
immunity 免疫
impact 衝擊
impart 傳授
implement 器具
imply 含有
import 進口
important 重要的
impose 加於
impossible 不可能的
impress 印象
impression 印像
improve 改善
improvement 改善
in 在之內
in 於
inch 英寸
incise 切割
include 包含
income 收入
increase 增加
incubate 孵化
indeed 真係
indeed 實在
indicate 指示
indicator 指示器
indirect 間接
individual 個別的
indoor 在室內
industrial 工業的
industry 工業
infect 感染
infection 傳染
infer 推論
inferior 低等的
inflame 激怒
inflate 膨脹
influence 影響
inform 告訴
inform 話俾…
information 資料
ingredient 成分
inhale 吸進
inherit 繼承
initial 最初的
initiate 開始
inject 注射
injection 注入
injure 受傷害
injury 傷害
injustice 不公平
inn 小旅館
inner 內部
innocent 無辜的
innovate 革新
inoculate 接種
insect 昆蟲
inside 內部
inside 入面
insight 洞察
insist 堅持
inspect 檢查
inspire 激發
install 安裝
instance 實例
instant 即刻
instead 代替
instinct 本能
institute 研究所
instruct 指示
instructor 講師
instrument 儀器
insulate 絕緣
insurance 保險
insurance 燕梳
integrate 整合
intellect 智力
intend 想要
intend 諗住
intention 用意
interact 互相作用
interest 興趣
interesting 有趣的
interface 介面
interior 內在的
internal 內部的
internet 互聯網
interpret 解釋
interrupt 打斷
interval 間隔
interview 面談
intestine 小腸
intimidate 威嚇
into 到
into 入去
introduce 介紹
introduction 引言
intrude 侵入
intuition 直覺
invade 入侵
invent 發明
invention 發明
invest 投資
invite 邀請
involve 涉及
ion 離子
iodine 碘
ionize 電離
iron 鐵
iron 熨斗
irregular 不規則的
irritate 激怒
is 是
is 係
island 島
island 島嶼
isolate 隔絕
isomer 異構體
issue 議題
it 它
it 佢
item 條目
its 它的
itself 它自己
ivory 象牙
ivy 常春藤
