jack 傑克
jacket 夾克
jade 玉石
jam 果醬
jam 堵塞
james 詹姆士
january 一月
jar 瓶
jar 壺
jasmine 茉莉
jaw 顎
jazz 爵士
jazz 爵士舞
jealous 妒忌的
jealousy 妒忌
jeans 牛仔褲
jelly 果子凍
jelly 凍膠
jet 噴射
jetliner 噴射客機
jewel 寶石
jewel 珠寶
jewelry 珠寶
jiffy 瞬間
jingle 叮鈴
job 工
job 職業
jog 慢跑
jogger 慢跑者
join 聯接
join 摻埋
joint 關節
joke 搞笑
jolt 搖動
journal 日誌
journalist 記者
journey 旅程
joy 快樂
joy 喜悅
joyful 歡喜的
judge 法官
judge 判斷
judgment 判斷
judicial 司法的
jug 水壺
juice 果汁
juice 汁液
juicer 果汁器
juicy 多水分的
july 七月
jump 跳
jump 跳躍
jumper 冷衫
junction 會合
june 六月
jungle 叢林
junior 初級的
junk 廢物
just 正好
just 剛剛
just 岩岩
justice 正義
justify 辯護
juvenile 少年的
