labour 勞動
labret 唇飾
labrum 上唇
labyrinth 迷宮
lac 蟲漆
laccolith 岩盤
lace 帶子
lacerate 割破
laches 懈怠
lacing 結帶
lack 不夠
lack 唔夠
lackaday 悲哉
lackey 僕人
lacking 缺乏
lacquer 叻架
lactation 分泌乳汁
lactometer 檢乳器
lacuna 空白
lad 小伙子
ladder 梯子
ladder 階梯
laddie 少年
lade 裝載
laden 充滿的
laden 裝滿
ladle 杓子
ladleful 滿杓
lady 女士
lady 小姐
lady 婦人
ladyhood 貴婦
ladylove 情人
ladyship 夫人
lag 遲延
lagging 遲延
lagnappe 贈品
lagniappe 贈品
lagomorph 兔類動物
lagos 奈及利亞
lagune 礁湖
laic 凡人
laine 冷
lair 巢穴
lair 獸窩
laird 地主
laiz 黎
laizhi 來自
lake 湖
lake 湖澤
lakelet 小湖
lam 逃亡
lamaist 喇麻教徒
lamasery 喇麻廟
lamb 小羊
lamb 羔羊
lambda Λ
lambent 火焰等
lambert 藍伯特
lambkin 小羊兒
lame 殘廢
lame 跛足
lamebrain 笨蛋
lameness 跛
lament 悲嘆
lamentatio 哀傷
lamer 廢柴
laminate 製成薄版
lamination 層板
laminator 製板機
laminose 製成薄板
lamp 燈
lampion 裝飾用燈
lampoon 諷刺文
lamppost 街燈柱
lamz 林
lan 區域網路
lanai 涼台
lance 長矛
lance 槍
lance 藍斯
lancelet 蝸蝓魚
lancelot 亞瑟
lancer 使用槍
lancinate 戮刺
land 土地
land 登陸
landform 地形
landing 著陸
landline 輸送路線
landlubber 新水手
landmark 陸標
landmass 大陸
landsc 風景
landslide 塌方
landsman 陸居者
landwards 向陸地
lane 小徑
lane 小路
lane 胡同
lane 路徑
langouste 龍蝦
langsyne 很久以前
langua 語言
language 語言
languish 凋謝
languish 衰弱
languor 怠惰
langur 長尾葉猴
lankily 瘦長地
lanky 手足
lanner 雌獵鷹
lanneret 雄獵鷹
lantau 大嶼山
lanter 手燈
lanter 街燈
lanter 燈籠
lantern 燈籠
lanthanide 稀土元素
lanyard 繫索
lap 大腿
laparotomy 剖腹手術
lapful 滿膝
lapidate 以石投擊
lapidation 投石
lapilli 火山礫
lapillus 火山礫
lapin 兔的毛皮
lapping 研磨
lapse 失誤
lapse 遺漏
laptop 膝上型
lar 的單數形
larboard 左舷
larcener 竊盜
larder 肉貯藏處
large 大的
large 寬闊
large 廣大
largely 大部份
largeness 巨大
largess 賀禮
larrigan 油皮鞋
larry 勞瑞
larval 幼蟲
laryngitis 喉炎
larynx 喉頭
lasagna 肉醬麵
lasalle 喇沙
laser 激光　
laser 鐳射
lash 皮鞭
lasher 堰
lass 女孩
lassitude 疲倦
lasso 套索
last 末
last 延續
last 持續
last 最近
last 最後
lasted 持續
lastly 最後
lastnight 尋晚
lasvagas 拉斯維加斯
latchkey 閂鎖鑰匙
late 後
late 晏
late 遲了
latecomer 遲到者
lately 近來
laten 遲緩
lateness 遲到
latent 潛在的
later 更遲
later 更遲的
later 後來
later 第日
later 第日先
later 第時
later 第時先
later 過後
lateral 旁邊的
laterite 鐵礬土
latest 最遲的
latex 乳液
lath 板條
lathe 旋盤
lather 肥皂泡
lathing 覆以板條
latin 拉丁語的
latinize 拉丁語化
latitu 緯度
latitude 緯度
latitude 緯線
latrine 特指軍營
latten 黃銅薄片
latter 近來
latter 後者
latter 後面
lauan 柳安木
laud 讚美
laugh 搞笑
laugh 嘲笑
laughably 可笑
laught 笑聲
laulin 榴槤
launch 發射
launcher 發射者
