m Ｍ
mabel 瑪貝爾
mac 老兄
macaque 短尾猿
macau 澳門
macau 濠江
macdonnell 麥當奴
macdonold 麥當勞
mace 釘頭槌
macerate 浸軟
maceration 浸軟
machete 彎刀
machin 機器
machinate 圖謀
machinator 策士
machine 機器
machinery 機械裝置
machismo 男子氣概
machmeter 馬赫計
macho 男性化
macintosh 防水布
macintosh 麥金塔
mackintosh 橡皮
macle 雙晶
macro 巨集
macro 宏
macrocosm 大宇宙
macrograph 肉眼圖
macrospore 大胞子
maculate 弄污
maculation 帶斑點
mad 發狂
mad 發怒
mad 發癲
mad 瘋狂
mad 癲
madam 夫人
madam 太太
madcap 冒失鬼
madder 洋西
madeline 瑪德琳
madge 瑪琪
madly 發狂地
madman 狂人
madman 瘋人
madonna 瑪利亞
madrepore 石蠶
madwoman 狂女
maecenas 米西奈斯
maelstrom 大漩渦
mafia 黑手黨
mag 麥格
magan 梅根
magazi 雜志
magee 麥基
maggie 瑪姬
magistracy 轄區
magistrate 行政長官
magistrate 首長
magnalium 鎂鋁
magnate 貴人
magnesite 菱鎂礦
magnesium 鎂
magnet 磁
magnet 磁鐵
magnetic 磁性的
magnetism 磁性
magnetize 磁化
magnetizer 磁化器
magneto 磁發電機
magneton 磁子
magnetron 磁電管
magnificen 壯麗
magnificen 壯麗的
magnifico 古代
magnitude 大小
magnitude 大小規模
magnolia 玉蘭
magsman 騙子
maguey 龍舌蘭
magyar 馬札兒人
maharaja 大君
maharajah 大君
mahatma 大聖
mahayana 大乘佛教
mahjong 麻將
mahogany 桃花心木
mahratta 馬拉他人
maid 少女
maid 侍女
maid 姑娘
maiden 少女
maiden 處女
maiden 閨女
maidenhood 處女性
maidenhood 處女膜
mail 寄
mail 寄郵
mail 郵件
mailbox 信箱
mailing 郵寄
mailman 郵差
mailplane 郵機
maim 傷害
maim 傷殘
main 主要
main 最主要的
maine 緬因
mainframe 大型主機
mainline 靜脈注射
mainliner 幹線列車
mainly 大多數
mainsail 大桅帆
mainstream 活動
mainta 主張
mainta 堅持
mainta 維持
maintenanc 維持費
maintop 大桅樓
maisonette 小房屋
majestic 崇高的
majesty 莊嚴
majesty 尊嚴
majeure 無可抗拒
majolica 色彩強烈
major 主要
major 主修
major 多數
major 成年
majordomo 王家
majority 多數
make 作
make 使
make 得
make 造
make 造成
make 搞
make 搞到
make 製造
make 謀
makefast 繫船的柱
makelove 扑野
makelove 做愛
maker 製造廠
makeshift 暫時
makeup 化妝
makeup 化妝品
makings 要素
malacoderm 軟皮動物
malady 疾病
malady 病
malaise 不舒服
malarkey 胡說
malarky 胡說
malathion 主義
malcolm 麥爾肯
male 男
male 雄
male 雄性的
malefactor 罪人
males 壯丁
malicious 惡毒的
malicious 惡意
malignance 惡性
malignant 懷惡意
maligner 誹謗者
malignity 惡意
malinger 裝病
malingery 裝病
malison 咒罵
mall 購物中心
mallard 野鴨
mallee 由加利樹
mallet 木槌
malleus 槌骨
mallow 蜀葵
malm 白堊土
malmaison 康乃馨
malodor 惡臬
malt 熔融
malthus 馬歇爾
mamie 梅蜜
mamilla 乳頭
mammalia 哺乳類
mammee 馬米樹
mammilla 乳頭
mammoth 長毛象
mammy 兒語
mammy 媽咪
man 男人
manage 處理
manage 經理
manage 辦理
management 管理
managing 處理
manchineel 燭台草科
manchu 滿州
manchurian 滿州人
manciple 學校
mandamus 命令書
mandarin 官吏
mandarin 國語
mandarin 標準國語
mandate 委任統治
mandel 曼德爾
mandela 孟得拉
mandible 哺乳動物
mandolin 洋琵琶
mandolin 曼陀琳
mandrel 心軸
mandril 心軸
mandrill 大狒狒
mandy 曼蒂
mane 頭髮
mane 鬃
manes 靈魂
maneuver 巧計
maneuver 演習
mangle 撕裂
mangosteen 羅漢果
manhandle 人工處理
manhattan 曼哈坦
manhole 人孔
manhood 人格
manhood 成人
manhunt 搜索
mania 狂
manichee 摩尼教徒
manicheism 尼教
manicure 修指甲術
manifest 明膫的
manifestat 證明
manifestly 明白地
manifold 多樣的
manilla 馬尼拉
manipu 加工
manipulate 處理
mankin 人類
manliness 男子氣概
manly 男子氣的
manly 男子氣概
manner 樣式
manner 禮儀
mannerist 怪癖的人
