obcerse 硬幣正面
obeah 非洲巫術
obedient 乖
obedient 聽話
obeisance 敬禮
obelise 加上問號
obelize 加上問號
obelus 印刷
obesity 肥胖症
obey 乖
obey 順從
obey 聽從
obey 聽話
obeyient 很順從
obfuscate 弄暗
obituary 死亡
object 事物
object 物件
object 野
objection 反對
objection 異議
objective 受格
objurgate 申斥
obligate 強制預留
obligation 義務
oblige 責成
oblige 感謝
obligor 義務人
obliterate 塗去
oblivion 忘卻
oblivion 埋沒
obloquy 漫罵
obscenity 猥褻
obscure 無名的
obscurity 含糊
obscurity 陰暗
obscurity 隱晦
obsequies 葬禮
obsequious 低聲下氣
observ 遵守
observ 觀察
observatio 觀察
observator 天文台
observe 睇
observer 觀察員
obsess 迷住
obsession 觀念等
obstac 障礙
obstacle 障礙
obstruct 阻隔
obstructio 障礙
obstructor 妨害者
obtain 得到
obtest 懇請
obtrude 強迫
obturate 封閉
obturation 閉塞
obturator 閉塞物
obverse 表面
obvert 置換
obviation 除去
obviou 明白
obviou 顯然
obviously 顯然
occasion 場合
occasional 偶然地
occasional 偶然的
occidental 西洋式
occiput 後頭部
occlude 吸收
occlusion 閉塞
occultism 占星術
occupa 職業
occupant 佔領者
occupation 職業
occupier 佔有者
occupy 佔領
occur 想起
occurrence 事件
ocean 大海
ocean 洋
ocean 海洋
oceanics 海洋工會
oceanology 海洋資源
oceanus 海洋之神
ocellated 有單眼
ocelot 豹貓
oclock 點鐘
octachord 八弦琴
octad 八個一組
octameter 八步格
octan 八日熱
octave 八度
octavia 奧克塔薇
octavo 八開紙
octet 八重奏
octobe 十月
october 十月
octodecimo 十八開紙
odalisque 婢女
odd 古靈精怪
odd 奇怪
odd 奇數
odd 零碎
odd 零頭
oddity 奇異
oddly 古怪地
oddness 奇怪
odds 可能性
odds 勝算
ode 頌詞
ode 頌詩
odelette 奧蒂爾列特
odelia 奧蒂莉雅
odium 憎惡
odograph 步數計
odometer 計程錶
odontology 齒科學
oestrum 發情期
of 之
of 的
ofcour 當然
ofcourse 梗係
off 那邊
off 熄
off 離開
off 關閉
offal 碎屑
offend 冒犯
offend 觸犯
offender 犯法者
offender 冒犯者
offense 侵犯
offensive 不愉快
offensive 有攻擊性的
offeree 接盤人
offerer 報價人
offering 奉現
offering 提供
offerings 提供之物
offertory 獻金
office 寫字樓
office 辦公室
office 辦事處
office 辦務員
office 職員
officer 官員
official 公務的
officially 官方的
officiate 執行
offing 海面
offset 透印版印刷
offshoot 分支
often 成日
often 常
often 屢次
oftentimes 常常
ogden 歐格登
ogive 交錯骨
ogle 眉目傳情
ogpu 格別鳥
ogre 食人魔鬼
oh 啊呀
oh 喔
ohmmeter 歐姆計
oho 表示驚訝
oilcloth 油布
oiler 油商
oilfield 油礦
oilily 油似地
oiliness 油質
oilman 油製造者
oilskin 油布
oily 油油的
oink 豬的叫聲
ok 得
ok 無問題
ok 過得去
ok 掂
okay 無問題
old 年老
old 老的
old 老套
old 老餅
old 娘炳
old 從前
old 梁炳
old 舊
oldfashion 過時的
oldman 老翁
oldtime 古來的
oleander 夾竹桃
oleate 油酸鹽
olefin 石蠟
olentiful 茂盛
oleoresin 油性樹脂
oleum 發煙硫酸
olga 歐嘉
oligopoly 賣方市場
olio 什錦菜
olive 奧莉芙
olive 撖欖
oliver 奧列佛
oliver 腳踏鐵槌
olives 橄欖
olivet 人造珍珠
olivia 奧莉薇雅
ology 學問
olympic 奧林匹克
omar 奧瑪
omega Ω
omelet 奄列
omelette 煎蛋捲
omicorn Ο
omicorn ο
ominous 不吉利的
ominous 惡兆地
omit 刪去
omit 略去
omnirange 無電
omniscient 無所不知
on 上面
on 在
on 在..之上
on 開始
onanism 性交中斷
once 一下
once 曾
once 曾經
one Ⅰ
one 一隻
one 子
one 甲
one 某一個
one 壹
one 鼠
oneida 鄂乃德族
oneness 單一性
oner 無比的人
onflow 湍流
ongei 胺基
ongeisuen 胺基酸
onions 洋蔥
onki 胺基
onkisuen 胺基酸
online 在線
only 不過
only 只有
only 唯一
only 淨係
onomastics 語原論
onrush 突進
onslaught 突擊
ontic 本體
onto 到﹍之上
onto 於
ontologist 存在
onus 負擔
onward 在前
onward 前進
onyx 鎬瑪腦
oocyte 卵母細胞
oodles 許多
oom 南非
oomph 性的魅力
oops 表示驚訝
ooze 爛泥
oozy 軟泥
opal 貓眼石
opamp 運算放大器
opec 石油輸出組織
open 打開
open 開
open 開著
