pace 步伐
pack 打包
package 包裝
page 頁
pain 痛
paint 顏料
paint 油漆
painting 油畫
pair 一對
pal 夥伴
palace 宮殿
palm 手掌
pan 鍋
paper 紙
paragraph 段落
parallel 平行的
parameter 參數
parent 父母
parents 父母
park 公園
park 泊
part 部分
partial 部分的
participate 參加
particle 微粒
particular 特別
partner 合夥人
party 派對
pass 經過
passage 通道
passenger 乘客
passion 熱情
past 過去
paste 糊
path 小路
path 途徑
patient 病人
pattern 花樣
pattern 圖案
pay 支付
pay 俾錢
peak 山峰
pear 啤梨
peasant 農夫
pebble 鵝卵石
peel 果皮
pen 鋼筆
pencil 鉛筆
people 人們
pepper 胡椒
per 每
percent 巴仙
perfect 完美的
perform 實行
performance 演出
perhaps 或許
period 周期
permit 准許
person 人
personal 私人的
personnel 人員
persuade 勸說
pet 寵物
phase 階段
phenomena 現象
photo 照片
photograph 照片
phrase 短語
physical 物理的
physician 內科醫生
pick 挑取
pick 揀
picnic 郊遊
piece 件
pig 豬
pile 堆積
pill 藥丸
pillar 柱子
pilot 駕駛員
pin 別針
pine 松樹
pink 粉紅
pipe 管子
pitch 音高
pity 可憐
place 地方
plain 普通的
plan 計畫
plant 植物
plastic 塑膠
plate 碟
plate 板
platform 平臺
play 玩
play 演奏
player 選手
pleasant 愉快的
please 唔該
pleasure 樂趣
plenty 很多
plot 情節
plug 插塞
plus 加
pocket 衣袋
poem 詩
poet 詩人
point 點
poison 毒
poisonous 有毒
pole 桿
police 警察
policy 政策
polite 禮貌
political 政治的
pollute 污染
pond 池塘
pool 水池
poor 貧窮
pop 流行
popular 受歡迎的
population 人口
port 港口
portable 手提的
position 位置
positive 正面的
possess 擁有
possible 可能的
post 郵件
postcard 甫士咭
postpone 延期
pot 壺
potato 薯仔
pound 磅
pour 倒
power 力量
power 動力
powerful 強有力的
practical 實際的
practice 練習
praise 讚美
pray 祈禱
precious 珍貴的
predict 預測
prefer 比較喜歡
preference 偏愛
prepare 準備
present 現在
present 禮物
president 總統
press 按
press 壓
pressure 壓力
pretend 假裝
pretty 靚
prevent 防止
price 價格
pride 驕傲
primary 初級的
prime 主要
primitive 原始的
principle 原則
print 印刷
printer 打印機
priority 優先權
prison 監獄
private 私人的
prize 獎
problem 問題
process 過程
produce 生產
product 產品
production 生產
professor 教授
profit 利潤
program 節目
program 程式
progress 進展
project 方案
promise 答應
promote 促進
proof 證明
proper 適當的
property 財產
proportion 比例
propose 提議
protect 保護
proud 驕傲的
prove 證明
provide 提供
public 公共的
publish 發表
pull 拉
pulse 脈搏
pump 水泵
punish 處罰
pupil 學生
pure 純粹
purple 紫色
purpose 目的
push 推
put 放
puzzle 謎
pyramid 金字塔
