q Ｑ
qb 魚涌
qi 〧
qingzhou 欽洲街
qitu 其餘
quack 嘎嘎
quadrat 嵌塊
quadrature 求積
quadriceps 四頭肌
quadrireme 四段櫂船
quadrivium 四科
quadruped 四腳獸
quadruplet 四組
quadruply 四重地
quaestor 刑事推事
quag 沼地
quagga 斑驢
quagmire 泥坑
quahaug 蚌蠣類
quaint 離奇有趣的
quakerbird 信天翁
qualificat 資格
qualifier 限定
qualify 符合資格
qualify 給與資格
qualit 性質
qualit 品質
qualit 質
quality 品質
qualmish 使人惡心
quant 船槳
quanti 分量
quanti 量
quantic 多項式
quantify 量化
quantise 量子化
quantity 份量
quantity 數量
quantize 量子化
quarantine 檢疫
quarre 口角
quarre 吵架
quarrel 吵架
quarreler 爭吵的人
quarreller 爭吵的人
quarrelsom 喜歡吵架的
quarrier 採石工
quarry 鑿石場
quarryman 採石工
quart 夸脫
quart 品質
quart 素質
quartation 四分法
quarte 一刻
quarter 四分之一
quarter 骨
quartet 四重奏
quartette 四重奏
quartile 四分位數
quarto 四開
quartz 石英
quartzite 石英岩
quarz 水晶
quaternion 四元數
quaternity 四個一組
quatre 四點
quaver 顫動
quay 碼頭堤岸
quayside 碼頭周圍
quean 無恥女人
quechua 克家族
queen 女王
queen 王后
queen 皇后
queen 皇後
queena 昆娜
queendom 女王國
queenhood 女王身份
queening 一種蘋果
queer 古怪的
queer 奇妙
queerly 奇妙地
queerness 奇妙
queit 平靜
quench 冷卻
quencher 冷卻器
quercetin 橡黃素
querist 詢問者
quern 手磨器
querry 魚涌
query 查詢
questi 問題
questi 疑問
questi 論點
question 問題
question 審問
queue 等候
quibble 狡辯
quibbling 詭辭
quick 即刻
quick 快
quick 迅速
quicken 加快
quicker 快些
quickly 即刻
quickly 很快地
quickness 迅速
quickscan 快速掃描
quickset 樹籬
quicksilve 水銀
quickstep 快步
quidproquo 賠償
quiescency 靜止
quiet 寂靜的
quiet 溫和
quiet 靜
quiet 靜靜雞
quieten 安靜
quieten 靜下來
quietly 悄然
quietness 靜悄悄
quietus 償清
quill 羽莖
quillet 託辭
quilling 羽狀襞褶
quincunx 梅花形
quinidine 奎尼定
quinin 奎寧
quinine 金雞納霜
quinoline 奎林
quinquages 四旬齋
quins 五胞胎
quinsy 扁桃腺炎
quint 同花順
quintan 五日熱
quintar 阿輔幣
quintet 五重奏
quintete 五重奏
quintina 昆蒂娜
quintuplet 五個一組
quip 諷刺
quip 警句
quirk 雙關語
quisle 賣國
quit 放棄
quit 離去
quitclaim 放棄權利
quite 十分
quite 完全
quite 相當
quite 都幾
quite 幾
quite 簡直
quitrent 免役稅
quiver 搖動
quiver 震
quiver 顫
quiverful 裝滿
quixote 吉訶德
quizzer 測試者
quoit 圈環
quota 配額
quotat 引用
quotat 行市
quotat 語錄
quotation 引用句
quotation 報價單
quote 引証
quote 報價
quoth 說
quotiety 係數
