r Ｒ
ra 鐳
rabbi 猶太教士
rabbit 家兔
rabbitry 兔子
rabidity 猛烈
race 比賽
race 竟賽
race 賽跑
raceabout 賽艇
raceball 賽馬舞會
racecourse 跑馬場
racehorse 賽馬
racer 比賽者
rachel 女性名
rachel 瑞琪兒
rachel 雷奇
rachis 脊椎
rachitis 軟骨病
racially 按人種
raciness 痛快
racing 比賽
rack 浮雲
rack 網架
racket 吵鬧
racketeer 敲詐勒索
raddle 赭石
radially 輻射狀地
radiation 輻射
radiator 暖氣機
radical 根本的
radicalise 成為激進
radicalism 急進主義
radicalize 成為激進
radically 根本地
radicle 根狀部
radii 半徑
radio 收音機
radio 無線電
radiology 放射線學
radish 紅蘿蔔
radius 半徑
radula 齒舌
rae 瑞伊
raffia 拉菲亞樹
raffle 獎券
raffle 獎券銷售
raft 多數
raftsman 乘筏者
rag 破片
rag 破布
ragamuffin 野孩子
ragbag 裝破布袋
rage 盛怒
rage 憤怒
rage 激烈
raging 狂怒
ragout 蔬菜燉肉
ragtime 拼合旋律
raider 奇襲者
rail 橫木
rail 欄杆
rail 欄桿
railcar 氣動車
railer 斥責者
railing 扶手
raillery 開玩笑
railroad 鐵路
railroad 鐵道
railwa 鐵路
raiment 衣裳
rain 雨
rain 落水
rain 落雨
rainband 雨線
rainbo 虹
rainbow 虹
rainbow 彩虹
rainco 雨衣
rainhat 防雨帽
raininess 多雨
rainmaker 造雨者
rainwear 雨衣
rainy 下雨的
rainy 落雨
raise 升起
raise 提升
raj 主權
raja 王侯
rake 耙
rakehell 浪子
rally 示威運動
ralph 雷爾夫
ram 碰撞
ram 隨機存查記憶
ramadan 齋月
ramee 苧麻
ramp 猛襲
rampage 亂鬧
rampant 猖獗
rampart 城壘
rancho 牧人
rancour 憎恨
randolph 藍道夫
random 任意
random 求其
random 是但
ranee 王妃
range 范圍
range 範圍
ranged 分佈
ranger 巡邏者
ranger 遊騎兵
ranging 分佈
rank 評價分類
rank 隊伍
rank 階級
rank 階層
ranking 等級
rankle 化膿
ransom 參
ransom 贖金
rant 怒吼
rap 輕拍
rapacity 搶奪
rape 強奸
rape 強暴
rape 輪大米
raped 強暴
rapeseed 油菜籽
raphaelesq 拉斐爾
rapid 迅速
rapid 急流
rapidly 迅速地
rapids 急湍
rapine 搶奪
rappee 鼻煙
rapporteur 書記
rapt 狂喜的
rapture 全神灌注
rapture 興高彩烈
rare 少有
rare 好少
rare 珍奇
rare 稀少
rare 稀少的
rare 稀有
rarely 很少
rarely 稀少地
rarely 難得
rarely 難得地
rareness 稀罕
rarify 變稀薄
rascal 小淘氣
rascal 混帳
rascality 惡行
rash 冒失
rashly 輕率地
rashness 輕率
raspberry 覆盆子
rat 老鼠
rat 耗子
ratability 可課稅
ratafee 杏仁甜酒
ratafia 杏仁甜酒
ratal 評定價格
rataplan 敲鼓聲
ratchet 制輪裝置
rate 比例
rate 價目
ratel 貓
ratfink 卑鄙的人
rather 有點
rather 情願
rather 寧可
ratherish 稍微
ratifier 批准者
ratify 批准
ratings 分級
ration 配額
rationale 理論
rationing 定量分配
ratlin 梯繩
rattan 藤
ratten 搗亂
ratter 叛徒
rattle 發嘎嘎聲
rattle 嘎嘎響
rattlepate 輕率的人
rattletrap 老爺汽車
rattrap 捕鼠機
rave 怒吼
rave 胡言
rave 胡說八道
ravelin 三角堡
raveling 解開
raven 烏鴉
raven 獵食
ravin 掠奪
ravioli 餛飩
raw 生
raw 原始
rawness 生硬
ray 光束
ray 光線
ray 閃爍
raymond 雷蒙德
raze 消除
razorbill 海雀類
razzia 侵略
razzle 胡鬧
rb 銣
re 錸
reach 到達
reacquire 再次搜取
reactance 阻抗
reactant 阻抗
reaction 反應
reactionar 反動分子
reactivate 恢復作業
reactor 反應爐
read 閱
read 閱讀
read 讀
read 讀書
readdress 再致詞
reader 讀本
readiness 方便
readiness 容易
reading 讀
readout 資料解析
ready 得
ready 預備好
reagen 雷根
real 真正
real 真係
real 真實的
real 現實
real 實際
realise 體認
reality 現實
realiz 實現
realizatio 體認
realize 體認
reallocate 重新分配
really 真的
really 真係
really 實在
realskin 真皮
realstic 真切
reamer 鑽孔器
reanimate 復活
reappear 再現
reappoint 再任命
reappraise 重新評估
rear 後方
rear 殿軍
rearer 養育者
rearguard 後衛
rearrange 重新佈置
rearward 後方
reason 道理
reason 緣故
reasons 理由
reassemble 重新集合
reassembly 重新組合
reassert 重覆主張
reassess 再評價
reassign 重新指派
reassure 再保証
reaumur 列氏
reave 偷取
reawaken 再度覺醒
rebaptism 新命名
rebate 回扣
rebec 三弦樂器
rebecca 莉倍嘉
rebeck 三弦樂器
rebel 反抗者
rebel 反叛
rebellion 造反
rebellious 反叛的
rebellow 巨大返響
rebels 叛民
rebind 重綑
reborn 再生
rebozo 長圍巾
rebuke 指責
rebutment 反駁
rebutter 反駁者
recalesce 加以再熱
recall 記起
recant 撤回主張
recap 再製輪胎
recede 降低
receip 收據
receip 領受
receipt 收據
receiv 收到
receiv 迎接
receiv 接受
receiver 收受者
receiver 接受者
receiving 收到
recension 校訂本
recent 近來
recent 近排
recent 最近
recent 新近
recently 最近地
receptor 受話器
recess 休惜
recession 經濟衰退
recharge 重新裝填
recharger 充電器
recheck 重新檢查
rechristen 重新命名
reciever 接收器
reciner 臥椅
recipient 領受
reciprocal 互惠
recite 講述
reciter 背誦者
reciver 恢復
reck 注意
reckless 不顧一切
recklessly 冒然
reckon 推算
reckoner 清算人
reclaim 收回
reclaim 改造
reclaim 要求歸還
recline 靠住
recline 靠著
recline 橫臥
recliner 臥椅
reclothe 再穿著
reclothe 重新穿著
recluse 隱逸
reclusion 隱遁
recoal 重新添煤
recoat 再塗上
recoat 重新塗上
recogn 識別
recognise 認知
recognise 認得
recognitio 認出
recognize 識別
recoin 改鑄
recoinage 改鑄
recollect 記得
recollecti 回憶
recombine 重組
recommend 推介
recommend 推荐
recompense 報答
recompense 酬謝
recompose 重新編排
reconcile 和解
reconsider 重新考慮
reconstruc 重建
reconvert 恢復原狀
record 成績
record 記錄
record 唱片
record 錄音
recorded 記錄
recording 記錄
recount 詳述
recountal 詳細敘說
recove 收回
recove 恢復
recove 痊癒
recover 好番
recovery 重獲
recreancy 怯懦
recreation 休閒
recreation 娛樂中心
recruit 招募
recruit 徵募
rector 牧師
rector 教區牧師
rectrix 舵羽
recumbency 靠著休息
recuperate 療養
recur 返回
recurrence 再現
recurring 返回
recurs 遞歸
recursion 遞迴
recurve 向後彎曲
recusancy 不服從
recycle 再循環
red 赤
red 紅
red 紅朱
red 紅色
redactor 編輯者
redan 凸角堡
redbreast 駒鳥
redbud 美國紫荊
reddle 赭土
rede 忠告
redeemer 贖主
redefine 重新定義
redeploy 調動
redfish 鮭魚
redhead 紅頭髮
rediffuse 再擴散
redingote 女用外套
redistrict 重新區分
redivivus 再現
redneck 鄉下人
redness 紅色
