t Ｔ
ta 鉭
tab 垂片
tab 塔伯
tabes 衰弱
tabitha 泰貝莎
table 表
table 桌子
table 檯
tablet 片
tabletop 桌面
tabloid 小型畫報
taboo 禁忌
taboos 禁忌
tabor 小鼓
tabulate 作成表格
tabulator 定位裝置
tacamahac 芳香樹脂
tach 環扣
tachometer 轉速計
tachymeter 視距儀
taciturn 沉靜
tack 大頭釘
taconite 角岩
tact 機智
tactful 圓滑
tactfully 委婉
tactic 手段
tactician 戰術家
tactics 策略
tactics 戰術
tactility 觸感
tad 少年
taekwondo 跆拳道
taffarel 船尾欄杆
taffrail 船尾欄杆
tafia 塔非亞酒
tag 標簽
tagmeme 文法素
tagrag 下層人民
tailor 裁縫
tailor 裁縫師
tailrace 放水路
taipei 臺北
taiwanese 台灣人
taiwookoon 醍醐灌頂
take 取
take 拎
take 拿
take 拿取
take 搭車
take 囉
takeaway 拎走
takeout 外帶
takeover 取代
talbot 獵狗
talcum 滑石
talent 才能
talent 天分
talipot 大棕櫚樹
talk 傾偈
talk 談
talk 談論
talk 講話
talker 說話的人
talkfest 懇談會
talkie 有聲電影
tall 高
tall 高大
tallboy 高腳櫥
tallest 最高
tallith 猶太披巾
tallness 高度
tally 記賬符號
talon 爪
talons 鉤爪
tamarack 落葉松
tamarisk 撐柳
tambour 刺繡
tamely 馴服地
tameness 馴服
tamer 馴服手
tamer 馴服者
tammy 泰蜜
tamping 填塞
tampion 木塞子
tampon 棉球
tanbark 鞣製革
tangent 切線
tangerine 蜜柑
tangibly 可觸知地
tangibly 確切地
tango 探戈
tangram 七巧板
tank 坦克
tankage 桶槽容量
tankard 大啤酒杯
tanker 運油機船
tannate 單寧酸鹽
tanner 製革工人
tannin 單寧酸
tantalize 吊胃口
tantara 喇叭聲響
tantivy 疾驅
tanyard 硝皮廠
taoist 道家
tap 磁帶
tap 輕打
tapa 樹皮布
tape 帶子
tape 捲帶
tape 磁帶
tape 膠帶
tapeline 卷尺
taper 小臘燭
taper 尖細
tapering 逐漸縮小
tapestry 織錦畫
tapestry 繡帷
tapeworm 蛔蟲
taping 錄音
tapir 貊
tapper 電鍵
tapping 輕拍
taradiddle 謊話
tarantism 跳舞病
tarantula 毒蜘蛛
tarbrush 焦油毛刷
tardily 緩慢地
tardiness 緩慢
targe 圓盾
target 目標
tarlatan 一種薄紗
tarnish 變晦暗
tarpaulin 防水衣帽
tarsia 嵌木細工
tarsus 踝骨
tart 果餡餅
tart 撻
tartan 方格花紋
tartar 韃靼
tartly 辛辣地
task 任務
task 派給工作
task 怍業
tassel 穗狀花序
tassel 穗飾
tassels 流蘇
taste 味道
taste 品味
taste 品嘗
taste 滋味
taste 嘗
tasteless 無味
tastily 風味地
tat 梭編
tatter 破布
tatter 碎片
tatting 梭編
tau Τ
tauntingly 嘲罵著
tauz 抖
tavern 酒館
tawdrily 俗麗地
tawny 黃褐色
tax 抽稅
tax 租稅
tax 稅
taxability 可課稅性
taxable 要課稅
taxation 課稅
taxation 賦稅
taxes 稅捐
taxi 出租汽車
taxi 的士
taxidermy 剝製術
taximan 計程車
taxis 計程車
taxiway 滑行道
taxonomic 分類
taxonomy 分類法
taylor 泰勒
tb 釓
te 碲
teache 先生
teache 教師
teacher 老師
teachings 教訓
team 團隊
teamwork 團對合作
teapoy 茶几
tear 眼淚
tear 撕破
tearful 熱淚盈眶
tears 眼淚
tease 取笑
teasel 起毛機
teat 奶頭
tec 偵探
tec 偵探小說
tech 科技
techni 技術
technical 技術的
technician 技士
technics 工藝技術
techno 技術
technology 技術
tectonics 構造學
tedder 乾草機
tedious 乏味的
tediously 沉悶地
tedium 厭煩
teenager 青少年
teenagers 青少年
teens 青少年
teeth 牙齒
teethe 長牙齒
teething 出牙期
teethridge 牙床
teetotum 四方陀螺
teflon 鐵弗龍
tegument 被膜
tehee 嗤笑
tel 電話
telecast 電視轉播
telecine 電視電影
telefax 電傳
telegony 感應遺傳
telegr 電報
telegraph 電報
telegraph 電報機
telegraphy 電信術
telemetry 遙感勘測
teleph 電話
telephone 電話
telephoto 電傳照相
teleplay 電視劇
telescope 望眼鏡
telesis 達成目標
telethon 連續劇
televise 廣播
televisor 收視機
televox 機器人
telex 打字電報
telford 德福
tell 告訴
tell 話俾
tell 話俾…
tell 囑咐
teller 出納員
teller 講話著
telluride 碲化物
telotype 電報電報
telpher 空中纜車
temerity 鹵莽
temper 性質
temper 溫度
temper 調節
tempera 暗晦畫法
temperamen 氣質
temperate 有節制的
temperatur 溫度
temple 寺廟
temple 廟寺
temples 寺廟
tempor 暫時
temporalty 教外人士
temporary 暫時的
temporize 姑息
temporizer 姑息者
tempt 勾引
temptress 女誘惑者
ten Ⅹ
ten 酉
ten 拾
ten 癸
ten 雞
tenability 可維持
tenable 可主張
tenant 房客
tenantry 租借人
tench 鯉魚
tend 走向
tend 看守
tend 傾向
tend 照料
tendance 隨侍
tendency 趨勢
tender 柔弱
tender 柔軟
tender 細嫩的
tender 溫柔
tender 嫩綠
tenderer 投標者
tenderize 弄嫩
tenderly 溫和地
tenderness 溫和性
