wait 等
waiter 服務員
wake 醒
walk 走
wall 牆壁
wallet 錢包
want 要
war 戰爭
warm 溫暖
warm 暖笠笠
warn 警告
wash 洗
waste 廢物
watch 看
watch 睇
water 水
wave 波
wave 波浪
wax 蠟
way 道路
weak 虛弱
weaken 減弱
wealth 財富
weapon 武器
wear 穿戴
wear 著衫
weather 天氣
weave 編織
web 網
wedding 婚禮
week 星期
weekend 週末
weigh 稱
weight 重量
well 好
well 好野
west 西
western 西方的
wet 濕
wet 蒲
what 什麼
what 乜
what 咩
what 乜野
when 什麼時候
where 哪裡
where 邊度
whether 是否
whether 係唔係
which 哪一個
which 邊個
while 當
whisper 低語
whisper 咬耳仔
white 白色
who 誰
who 邊個
whole 整個
whose 誰的
whose 邊個既
why 為什麼
why 點解
wide 寬
width 寬度
wife 妻子
wild 野生的
wildlife 野生動物
will 會
will 意志
win 贏
wind 風
window 窗
wine 酒
winter 冬天
wire 金屬線
wisdom 智慧
wise 聰明
wish 祝願
with 和
within 在之內
without 沒有
witness 證人
woman 婦女
women 女人
wonder 驚訝
wonderful 美妙的
wood 木
wool 羊毛
word 字
work 工作
worker 工人
world 世界
worry 擔憂
worse 更壞
worse 仲衰
worth 值得
would 將
wound 傷口
wrap 包裹
wreck 毀壞
write 寫
wrong 錯
