z Ｚ
zabra 斑馬
zachary 塞克利
zambia 贊比亞
zambo 混血種
zamia 蘇鐵植物
zamindar 印度地主
zangz 爭
zap 快速的做
zaz 渣
zealot 狂熱
zebrass 斑馬驢
zebulon 紀伯倫
zed ｚ字母
zedoary 鬱金
zee Z字母
zenobia 潔諾比雅
zera 莎拉
zero ○
zero 烏有
zero 零
zero 零度
zero 零點
zest 風味
zest 熱心
zeta Ζ
zeta ζ
zeyucong 魚涌
zheli 這裏
zhishao 至
zhurongrushu 豬籠入水
zibet 麝香貓
zilch 某某
zillah 郡
zincate 亞鉛酸鹽
zincite 紅鋅礦
zinkenite 煇銻鉛礦
zinnia 百日草
zipped 拉上
zipper 拉鏈
zirconate 鋯酸鹽
zirconia 氧化誥
zirconium 鋯
zither 箏
zitherist 箏演奏者
ziv 傑夫
zizz 瞌睡
zloty 波蘭幣
zn 鋅
zodiac 黃道帶
zoe 若伊
zoetrope 西洋鏡
zoisite 黝簾石
zona 瓊娜
zonation 帶狀配列
zone 地帶
zone 區
zone 區域
zoning 區域劃分
zonule 小帶
zoo 動物園
zoogamy 有性生殖
zooglea 細膠團
zoography 動物誌學
zoolatry 動物崇拜
zoolite 化石動物
zoom 可變焦距
zoomancy 動物占卜
zooming 放大縮小
zoonosis 動物病
zoophyte 植蟲類
zoosperm 精子
zoospore 游走子
zootomy 動物解剖
zora 瓊拉
zoroastrai 拜火教
zoster 帶狀疹子
zr 鋯
zucchetto 無邊帽
zucchini 南瓜
zuiba 咀巴
zygoma 顴骨
zygophyte 接合植物
zygosis 接合
zygosperm 接合子
zymase 變酒酵素
zyme 酵母
zymogen 酵素母質
zymologist 發酵學者
zymosis 發酵
