penis 賓周
hot 㷫
jia 㗎
what 乜嘢
you 你哋
we 我哋
wodi 我哋
they 佢哋
aiya 哎吖
what 咩嘢
do 做嘢
sleepy 眼瞓
fuck 插嘢
two 两
cover 冚
chop 刴
ya 吖
ed 咗
already 咗
zuo 咗
duo 哚
che 唓
rest 唞
gua 啩
fit 啱
some 啲
gur 啹
there 嗰度
those 嗰啲
s 嘅
sai 嘥
waste 嘥
say 噏
talk 噏
pik 噼
pull 掹
drive 揸
throw 揼
find 揾
take 攞
get 攞
luo 攞
tired 攰
cockroaches 曱甴
chair 櫈
overcook 燶
sleep 瞓
thread 綫
tongue 脷
village 邨
chuen 邨
huifeng 匯豐銀行
hsbc 匯豐銀行
vagina 閪
quarrybay 鰂魚涌
also 都是
then 就
is 被
complex 複雜
kind 和善
kind 善
punish 懲罰
ninja 忍者
end 末
scale 規模
no 無
heavy 沉重
prepare 預備
pull 拔
erect 勃
let 使
dbs 拔萃
process 進程
classmate 同學
think 認為
no 未
actual 確實
pity 可惜
want 願
hope 願
this 此
cut 斷
team 團隊合作
teamwork 團隊合作
effect 作用
affect 作用
example 例如
short 矮
time 時候
move 搬
boring 無聊
ze 着
zen 禪師
wide 廣泛
around 圍繞
signature 署名
what 甚麼
bsiu 0407617005089
bsiu 7747131115
zz █
zz 「」 
zz 『』
tick ✓
tick ✔
arrow 🠕
zz 🠕
yue 悦
